Set No:1 Mean scores between outfit: 0.6292, label: 1.0
Set No:2 Mean scores between outfit: 0.4017, label: 1.0
Set No:3 Mean scores between outfit: 0.3557, label: 1.0
Set No:4 Mean scores between outfit: 0.3570, label: 1.0
Set No:5 Mean scores between outfit: 0.5603, label: 1.0
Set No:6 Mean scores between outfit: 0.5525, label: 1.0
Set No:7 Mean scores between outfit: 0.4284, label: 1.0
Set No:8 Mean scores between outfit: 0.3693, label: 1.0
Set No:9 Mean scores between outfit: 0.2463, label: 1.0
Set No:10 Mean scores between outfit: 0.5524, label: 1.0
Set No:11 Mean scores between outfit: 0.4281, label: 1.0
Set No:12 Mean scores between outfit: 0.4565, label: 1.0
Set No:13 Mean scores between outfit: 0.5605, label: 1.0
Set No:14 Mean scores between outfit: 0.4359, label: 1.0
Set No:15 Mean scores between outfit: 0.3569, label: 1.0
Set No:16 Mean scores between outfit: 0.3410, label: 1.0
Set No:17 Mean scores between outfit: 0.5999, label: 1.0
Set No:18 Mean scores between outfit: 0.5091, label: 1.0
Set No:19 Mean scores between outfit: 0.4062, label: 1.0
Set No:20 Mean scores between outfit: 0.4480, label: 1.0
Set No:21 Mean scores between outfit: 0.7454, label: 1.0
Set No:22 Mean scores between outfit: 0.5527, label: 1.0
Set No:23 Mean scores between outfit: 0.5142, label: 1.0
Set No:24 Mean scores between outfit: 0.4305, label: 1.0
Set No:25 Mean scores between outfit: 0.3046, label: 1.0
Set No:26 Mean scores between outfit: 0.4674, label: 1.0
Set No:27 Mean scores between outfit: 0.8432, label: 1.0
Set No:28 Mean scores between outfit: 0.2912, label: 1.0
Set No:29 Mean scores between outfit: 0.3004, label: 1.0
Set No:30 Mean scores between outfit: 0.4515, label: 1.0
Set No:31 Mean scores between outfit: 0.4382, label: 1.0
Set No:32 Mean scores between outfit: 0.5285, label: 1.0
Set No:33 Mean scores between outfit: 0.3488, label: 1.0
Set No:34 Mean scores between outfit: 0.2190, label: 1.0
Set No:35 Mean scores between outfit: 0.3692, label: 1.0
Set No:36 Mean scores between outfit: 0.4066, label: 1.0
Set No:37 Mean scores between outfit: 0.3106, label: 1.0
Set No:38 Mean scores between outfit: 0.5807, label: 1.0
Set No:39 Mean scores between outfit: 0.1972, label: 1.0
Set No:40 Mean scores between outfit: 0.2349, label: 1.0
Set No:41 Mean scores between outfit: 0.4867, label: 1.0
Set No:42 Mean scores between outfit: 0.4280, label: 1.0
Set No:43 Mean scores between outfit: 0.7124, label: 1.0
Set No:44 Mean scores between outfit: 0.3690, label: 1.0
Set No:45 Mean scores between outfit: 0.2518, label: 1.0
Set No:46 Mean scores between outfit: 0.2636, label: 1.0
Set No:47 Mean scores between outfit: 0.3233, label: 1.0
Set No:48 Mean scores between outfit: 0.3279, label: 1.0
Set No:49 Mean scores between outfit: 0.3648, label: 1.0
Set No:50 Mean scores between outfit: 0.4851, label: 1.0
Set No:51 Mean scores between outfit: 0.3932, label: 1.0
Set No:52 Mean scores between outfit: 0.6933, label: 1.0
Set No:53 Mean scores between outfit: 0.3283, label: 1.0
Set No:54 Mean scores between outfit: 0.3863, label: 1.0
Set No:55 Mean scores between outfit: 0.2894, label: 1.0
Set No:56 Mean scores between outfit: 0.4422, label: 1.0
Set No:57 Mean scores between outfit: 0.3430, label: 1.0
Set No:58 Mean scores between outfit: 0.2341, label: 1.0
Set No:59 Mean scores between outfit: 0.5880, label: 1.0
